firma,handle,takipci,durum
AKÇADENT,@akcadentcorlu,280,VAR
Acar Ambalaj,@acar__ambalaj,861,ZAYIF
Akemir Ambalaj,@akemir.ambalaj,1.581,PASIF
Ambalaj Fabrikası,,4,PASIF
Amor'e Design,@amoredesigncomtr,,VAR
Aqua Dental,@aquadental_tr,,AKTIF
Başak Ambalaj,,,YOK
Beyaz Diş,@beyazdiscorlu,829,VAR
Buse Çolpan Diş Kliniği,,3.580,
Demircan Ambalaj,@demircanambalaj,,YOK
Dent Arena,@dentarena_corlu,,ZAYIF
Dent Art,@corludentart,,VAR
Divan Ambalaj,@divanambalaj,1.418,VAR
Diyaroğlu Islak Mendil,,,YOK
Doktor Dental,@doktordental,,VAR
Doğa Dent,@dogadentcorlu,,VAR
Doğuş Ofset,,201,
Ecopack Ambalaj,,,
Efor Flexo,,,YOK
Elif Ambalaj,,,YOK
Erde Ambalaj,,,YOK
Fulya Diş,@fulyadiscorlu,,VAR
Gizpak Ambalaj,@gizpakambalaj,284,VAR
Güvenay Ambalaj,@guvenayambalaj,2.253,AKTIF
Haay Ambalaj,@haayambalaj,4.072,AKTIF
Işık Matbaacılık,,,YOK
Korozo Ambalaj,@korozogroup,,VAR
Metro Ajans,,,
Moba Matbaa,,156,PASIF
Modern Ambalaj,@ambalajmodern,181,YOK
Muhammed Demir,@corlucocukdishekimi,,ZAYIF
N-Pak Ambalaj,,,
Nehir Ofset,,,
Oluşum Matbaa,@olusumofsetmatbaa,160,VAR
Sarcina Ambalaj,@sarcina_tr,,AKTIF
Sevgi Diş,,,YOK
Trakyadent,@trakyadent.smile,625,VAR
Yılmaz Ambalaj,@yilmazplastik,284,ZAYIF
Çorlu Dent,,,YOK
Çorlu İlgi Diş,,,YOK
Özden Ambalaj,@ozden.ambalaj,,PASIF
İhsaş Ambalaj,@ihsasambalaj,27,YOK
İleri Ambalaj,@ileriambalaj,,PASIF
İmsas Ambalaj,@imsas_ambalaj,1.072,YOK
İnci Diş,@corluincidis,,VAR
İpek Şahin,@dtipeksahin,,VAR
İstanbul Oluklu,,,YOK
İz Gıda Ambalaj,,,YOK
