handle,full_name,biography,follower_count,following_count,media_count,is_private,is_verified,external_url,email,phone
akcadentcorlu,AK\u00c7ADENT,,281,138,0,False,False,,,
acar__ambalaj,Acar Ambalaj,,862,1034,0,False,False,,,05324206671
akemir.ambalaj,Akemir Ambalaj,,1601,372,0,False,False,,,
amoredesigncomtr,Amor'e Design Home Textile,,177,407,0,False,False,,,
beyazdiscorlu,Beyaz Di\u015f \u00c7orlu,,833,13,0,False,False,,,
demircanambalaj,Demircan Ambalaj,,2854,1,0,False,True,,info@demircanambalaj.com,
dentarena_corlu,Dent Arena Di\u015f Poliklini\u011fi,,307,95,0,False,False,,,+9054945877
corludentart,\u00d6zel \u00c7orlu Dent Art ADSP,,379,2,0,False,False,,,
doktordental,DOKTOR DENTAL A\u011eIZ VE D\u0130\u015e SA\u011eLI\u011eI POL\u0130KL\u0130N\u0130\u011e\u0130,,606,4,0,False,False,,,
dogadentcorlu,Do\u011fa Dent A\u011f\u0131z Ve Di\u015f Sa\u011fl\u0131\u011f\u0131 Poliklini\u011fi,,1551,55,0,False,False,,,
fulyadiscorlu,FulyaDi\u015f Dr. Cem \u00d6zg\u00fcr ADSP,,4398,479,0,False,False,,,
gizpakambalaj,Gizpak Ambalaj,,294,27,0,False,False,,,
guvenayambalaj,G\u00fcvenay Ambalaj,,2246,99,0,False,False,,,
haayambalaj,HAAY AMBALAJ,,17394,493,0,False,False,,,
korozogroup,Korozo Group,,398,0,0,False,False,,,
ambalajmodern,MODERN AMBALAj,,182,0,0,False,False,,,
olusumofsetmatbaa,Olu\u015fum Ofset Matbaa,,165,4,0,False,False,,,
sarcina_tr,Sarcina Ambalaj,,314,34,0,False,False,,,
trakyadent.smile,Trakyadent Smile,,679,1,0,False,False,,,
yilmazplastik,elif ulug\u00f6l,,1259,1215,0,False,False,,,
ozden.ambalaj,O\u0308zden Ambalaj,,2181,0,0,False,False,,info@ozdenambalaj.com,
ihsasambalaj,ihsa\u015f Ambalaj ve Oluklu Mukavva,,27,1,0,False,False,,,
ileriambalaj,\u0130leri Ambalaj,,113,2,0,False,False,,,
corluincidis,\u00c7orlu I\u0307nci Dis\u0327 Poliklinig\u0306i,,1028,311,0,False,False,,,05395791910
dtipeksahin,Di\u015f Hekimi \u0130pek \u015eahin,,224,70,0,False,False,,,
